petId,name,status,statusCode,scenario
1,Buddy,available,405,Client error responses: Method Not Allowed
2,Max,pending,405,Client error responses: Method Not Allowed
3,Bella,sold,405,Client error responses: Method Not Allowed
4,Charlie,available,405,Client error responses: Method Not Allowed
5,Lucy,pending,405,Client error responses: Method Not Allowed
6,Daisy,sold,405,Client error responses: Method Not Allowed
7,Bailey,available,405,Client error responses: Method Not Allowed
8,Molly,pending,405,Client error responses: Method Not Allowed
9,Sadie,sold,405,Client error responses: Method Not Allowed
10,Tucker,available,405,Client error responses: Method Not Allowed